,carat,cut,color,clarity,depth,table,x,y,z,price_predict,price_predicted
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,869.0,869.0
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,2067.0,2067.0
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6597.0,6597.0
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4811.0,4811.0
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2760.0,2760.0
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3531.0,3531.0
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,400.0,400.0
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5213.0,5213.0
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4260.0,4260.0
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1617.0,1617.0
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,497.0,497.0
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,2127.0,2127.0
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4657.0,4657.0
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5385.0,5385.0
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5536.0,5536.0
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3909.0,3909.0
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3921.0,3921.0
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,159.0,159.0
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,8593.0,8593.0
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,1253.0,1253.0
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5781.0,5781.0
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,6933.0,6933.0
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,1152.0,1152.0
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,1357.0,1357.0
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,3063.0,3063.0
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4483.0,4483.0
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4269.0,4269.0
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3991.0,3991.0
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5274.0,5274.0
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3618.0,3618.0
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,819.0,819.0
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,847.0,847.0
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10863.0,10863.0
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6606.0,6606.0
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1807.0,1807.0
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,585.0,585.0
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,11163.0,11163.0
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12941.0,12941.0
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,201.0,201.0
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,-1252.0,-1252.0
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6645.0,6645.0
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,659.0,659.0
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2189.0,2189.0
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4111.0,4111.0
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1465.0,1465.0
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,1039.0,1039.0
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5769.0,5769.0
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9304.0,9304.0
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2587.0,2587.0
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,1139.0,1139.0
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2363.0,2363.0
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4265.0,4265.0
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1443.0,1443.0
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5057.0,5057.0
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5579.0,5579.0
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6807.0,6807.0
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,14395.0,14395.0
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,10877.0,10877.0
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13196.0,13196.0
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,808.0,808.0
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2551.0,2551.0
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4156.0,4156.0
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,13209.0,13209.0
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,487.0,487.0
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2921.0,2921.0
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,6183.0,6183.0
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1979.0,1979.0
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9939.0,9939.0
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,-2116.0,-2116.0
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,10139.0,10139.0
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6483.0,6483.0
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,10733.0,10733.0
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3807.0,3807.0
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,629.0,629.0
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,14520.0,14520.0
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,541.0,541.0
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,2227.0,2227.0
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4546.0,4546.0
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,5197.0,5197.0
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6778.0,6778.0
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,-757.0,-757.0
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1488.0,1488.0
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4573.0,4573.0
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3901.0,3901.0
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3567.0,3567.0
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,636.0,636.0
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3214.0,3214.0
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4269.0,4269.0
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5916.0,5916.0
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2576.0,2576.0
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6770.0,6770.0
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2973.0,2973.0
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6453.0,6453.0
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,1143.0,1143.0
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,2661.0,2661.0
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14601.0,14601.0
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,1469.0,1469.0
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3166.0,3166.0
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4019.0,4019.0
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,13115.0,13115.0
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3239.0,3239.0
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3147.0,3147.0
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,1012.0,1012.0
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,607.0,607.0
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,801.0,801.0
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7571.0,7571.0
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,11904.0,11904.0
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5633.0,5633.0
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1041.0,1041.0
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3004.0,3004.0
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6405.0,6405.0
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1516.0,1516.0
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,1385.0,1385.0
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,1128.0,1128.0
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2632.0,2632.0
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6468.0,6468.0
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,8505.0,8505.0
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5785.0,5785.0
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,418.0,418.0
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,706.0,706.0
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,1514.0,1514.0
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2435.0,2435.0
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1939.0,1939.0
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,635.0,635.0
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4639.0,4639.0
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,745.0,745.0
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,8631.0,8631.0
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1139.0,1139.0
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3922.0,3922.0
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1125.0,1125.0
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4599.0,4599.0
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,591.0,591.0
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5208.0,5208.0
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7619.0,7619.0
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,4429.0,4429.0
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6501.0,6501.0
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4117.0,4117.0
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2476.0,2476.0
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3732.0,3732.0
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,151.0,151.0
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3352.0,3352.0
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6747.0,6747.0
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9172.0,9172.0
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8173.0,8173.0
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3016.0,3016.0
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1010.0,1010.0
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,2078.0,2078.0
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,2144.0,2144.0
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,904.0,904.0
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1020.0,1020.0
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2980.0,2980.0
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9761.0,9761.0
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,8309.0,8309.0
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5798.0,5798.0
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1739.0,1739.0
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1835.0,1835.0
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1537.0,1537.0
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,692.0,692.0
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6545.0,6545.0
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1671.0,1671.0
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1467.0,1467.0
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1313.0,1313.0
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,658.0,658.0
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11435.0,11435.0
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7401.0,7401.0
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,6163.0,6163.0
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10404.0,10404.0
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,1004.0,1004.0
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,17977.0,17977.0
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5619.0,5619.0
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,493.0,493.0
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,14529.0,14529.0
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2667.0,2667.0
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,-137.0,-137.0
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10531.0,10531.0
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,1500.0,1500.0
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,10237.0,10237.0
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,1162.0,1162.0
